자치구,범죄유형,장소카테고리,시간대,자치구_encoded,범죄유형_encoded,장소카테고리_encoded,시간대_encoded,p_district,p_place,p_time,시간_중앙값,is_night,is_rush_hour,crime_severity,risk_score,is_high_risk
강남구,살인,주거지구,00시-03시,0,1,3,0,0.0446927374301676,0.46153846153846156,0.13165680473372782,1.5,1,0,5,13.578699241983104,1
강남구,살인,주거지구,03시-06시,0,1,3,1,0.0446927374301676,0.46153846153846156,0.09911242603550297,4.5,1,0,5,10.222166845088402,1
강남구,살인,주거지구,06시-09시,0,1,3,2,0.0446927374301676,0.46153846153846156,0.06656804733727811,7.5,0,1,5,6.865634448193704,1
강남구,살인,주거지구,09시-12시,0,1,3,3,0.0446927374301676,0.46153846153846156,0.11538461538461539,10.5,0,0,5,11.900433043535754,1
강남구,살인,주거지구,12시-15시,0,1,3,4,0.0446927374301676,0.46153846153846156,0.13609467455621302,13.5,0,0,5,14.036408205196015,1
강남구,살인,주거지구,15시-18시,0,1,3,5,0.0446927374301676,0.46153846153846156,0.14497041420118342,16.5,0,0,5,14.951826131621843,1
강남구,살인,주거지구,18시-21시,0,1,3,6,0.0446927374301676,0.46153846153846156,0.16568047337278108,19.5,0,1,5,17.087801293282105,1
강남구,살인,주거지구,21시-24시,0,1,3,7,0.0446927374301676,0.46153846153846156,0.14053254437869822,22.5,1,0,5,14.49411716840893,1
강남구,살인,업무지구,00시-03시,0,1,2,0,0.0446927374301676,0.13165680473372782,0.13165680473372782,1.5,1,0,5,3.8734110017195387,0
강남구,살인,업무지구,03시-06시,0,1,2,1,0.0446927374301676,0.13165680473372782,0.09911242603550297,4.5,1,0,5,2.915938619272012,0
강남구,살인,업무지구,06시-09시,0,1,2,2,0.0446927374301676,0.13165680473372782,0.06656804733727811,7.5,0,1,5,1.958466236824486,0
강남구,살인,업무지구,09시-12시,0,1,2,3,0.0446927374301676,0.13165680473372782,0.11538461538461539,10.5,0,0,5,3.3946748104957756,0
강남구,살인,업무지구,12시-15시,0,1,2,4,0.0446927374301676,0.13165680473372782,0.13609467455621302,13.5,0,0,5,4.003975417507837,0
강남구,살인,업무지구,15시-18시,0,1,2,5,0.0446927374301676,0.13165680473372782,0.14497041420118342,16.5,0,0,5,4.265104249084435,0
강남구,살인,업무지구,18시-21시,0,1,2,6,0.0446927374301676,0.13165680473372782,0.16568047337278108,19.5,0,1,5,4.874404856096498,1
강남구,살인,업무지구,21시-24시,0,1,2,7,0.0446927374301676,0.13165680473372782,0.14053254437869822,22.5,1,0,5,4.134539833296136,0
강남구,살인,다중이용시설,00시-03시,0,1,1,0,0.0446927374301676,0.23076923076923078,0.13165680473372782,1.5,1,0,5,6.789349620991552,1
강남구,살인,다중이용시설,03시-06시,0,1,1,1,0.0446927374301676,0.23076923076923078,0.09911242603550297,4.5,1,0,5,5.111083422544201,1
강남구,살인,다중이용시설,06시-09시,0,1,1,2,0.0446927374301676,0.23076923076923078,0.06656804733727811,7.5,0,1,5,3.432817224096852,0
강남구,살인,다중이용시설,09시-12시,0,1,1,3,0.0446927374301676,0.23076923076923078,0.11538461538461539,10.5,0,0,5,5.950216521767877,1
강남구,살인,다중이용시설,12시-15시,0,1,1,4,0.0446927374301676,0.23076923076923078,0.13609467455621302,13.5,0,0,5,7.018204102598007,1
강남구,살인,다중이용시설,15시-18시,0,1,1,5,0.0446927374301676,0.23076923076923078,0.14497041420118342,16.5,0,0,5,7.475913065810921,1
강남구,살인,다중이용시설,18시-21시,0,1,1,6,0.0446927374301676,0.23076923076923078,0.16568047337278108,19.5,0,1,5,8.543900646641053,1
강남구,살인,다중이용시설,21시-24시,0,1,1,7,0.0446927374301676,0.23076923076923078,0.14053254437869822,22.5,1,0,5,7.247058584204465,1
강남구,살인,기타,00시-03시,0,1,0,0,0.0446927374301676,0.1760355029585799,0.13165680473372782,1.5,1,0,5,5.1790551596025285,1
강남구,살인,기타,03시-06시,0,1,0,1,0.0446927374301676,0.1760355029585799,0.09911242603550297,4.5,1,0,5,3.8988392774535896,0
강남구,살인,기타,06시-09시,0,1,0,2,0.0446927374301676,0.1760355029585799,0.06656804733727811,7.5,0,1,5,2.61862339530465,0
강남구,살인,기타,09시-12시,0,1,0,3,0.0446927374301676,0.1760355029585799,0.11538461538461539,10.5,0,0,5,4.538947218528059,0
강남구,살인,기타,12시-15시,0,1,0,4,0.0446927374301676,0.1760355029585799,0.13609467455621302,13.5,0,0,5,5.353630052622838,1
강남구,살인,기타,15시-18시,0,1,0,5,0.0446927374301676,0.1760355029585799,0.14497041420118342,16.5,0,0,5,5.702779838663458,1
강남구,살인,기타,18시-21시,0,1,0,6,0.0446927374301676,0.1760355029585799,0.16568047337278108,19.5,0,1,5,6.5174626727582385,1
강남구,살인,기타,21시-24시,0,1,0,7,0.0446927374301676,0.1760355029585799,0.14053254437869822,22.5,1,0,5,5.528204945643148,1
강남구,강도,주거지구,00시-03시,0,0,3,0,0.047811734639548506,0.2532467532467532,0.13744588744588745,1.5,1,0,4,6.656870795234827,1
강남구,강도,주거지구,03시-06시,0,0,3,1,0.047811734639548506,0.2532467532467532,0.10606060606060606,4.5,1,0,4,5.136797936480418,1
강남구,강도,주거지구,06시-09시,0,0,3,2,0.047811734639548506,0.2532467532467532,0.07034632034632035,7.5,0,1,4,3.407059855828849,0
강남구,강도,주거지구,09시-12시,0,0,3,3,0.047811734639548506,0.2532467532467532,0.09632034632034632,10.5,0,0,4,4.665051187211808,0
