자치구,범죄유형,장소카테고리,시간대,자치구_encoded,범죄유형_encoded,장소카테고리_encoded,시간대_encoded,p_district,p_place,p_time,시간_중앙값,is_night,is_rush_hour,crime_severity,risk_score,is_high_risk
강남구,살인,주거지구,00시-03시,0,1,3,0,0.0446927374301676,0.46153846153846156,0.13165680473372782,1.5,1,0,5,92.82551533128671,1
강남구,살인,주거지구,03시-06시,0,1,3,1,0.0446927374301676,0.46153846153846156,0.09911242603550297,4.5,1,0,5,87.58752819299163,1
강남구,살인,주거지구,06시-09시,0,1,3,2,0.0446927374301676,0.46153846153846156,0.06656804733727811,7.5,0,1,5,82.34954105469653,1
강남구,살인,주거지구,09시-12시,0,1,3,3,0.0446927374301676,0.46153846153846156,0.11538461538461539,10.5,0,0,5,90.20652176213918,1
강남구,살인,주거지구,12시-15시,0,1,3,4,0.0446927374301676,0.46153846153846156,0.13609467455621302,13.5,0,0,5,93.53978630469061,1
강남구,살인,주거지구,15시-18시,0,1,3,5,0.0446927374301676,0.46153846153846156,0.14497041420118342,16.5,0,0,5,94.96832825149836,1
강남구,살인,주거지구,18시-21시,0,1,3,6,0.0446927374301676,0.46153846153846156,0.16568047337278108,19.5,0,1,5,98.30159279404978,1
강남구,살인,주거지구,21시-24시,0,1,3,7,0.0446927374301676,0.46153846153846156,0.14053254437869822,22.5,1,0,5,94.25405727809446,1
강남구,살인,업무지구,00시-03시,0,1,2,0,0.0446927374301676,0.13165680473372782,0.13165680473372782,1.5,1,0,5,39.73137297493188,0
강남구,살인,업무지구,03시-06시,0,1,2,1,0.0446927374301676,0.13165680473372782,0.09911242603550297,4.5,1,0,5,34.49338583663678,0
강남구,살인,업무지구,06시-09시,0,1,2,2,0.0446927374301676,0.13165680473372782,0.06656804733727811,7.5,0,1,5,29.255398698341686,0
강남구,살인,업무지구,09시-12시,0,1,2,3,0.0446927374301676,0.13165680473372782,0.11538461538461539,10.5,0,0,5,37.11237940578434,0
강남구,살인,업무지구,12시-15시,0,1,2,4,0.0446927374301676,0.13165680473372782,0.13609467455621302,13.5,0,0,5,40.445643948335764,0
강남구,살인,업무지구,15시-18시,0,1,2,5,0.0446927374301676,0.13165680473372782,0.14497041420118342,16.5,0,0,5,41.874185895143505,0
강남구,살인,업무지구,18시-21시,0,1,2,6,0.0446927374301676,0.13165680473372782,0.16568047337278108,19.5,0,1,5,45.20745043769494,1
강남구,살인,업무지구,21시-24시,0,1,2,7,0.0446927374301676,0.13165680473372782,0.14053254437869822,22.5,1,0,5,41.159914921739635,0
강남구,살인,다중이용시설,00시-03시,0,1,1,0,0.0446927374301676,0.23076923076923078,0.13165680473372782,1.5,1,0,5,55.68342471428513,1
강남구,살인,다중이용시설,03시-06시,0,1,1,1,0.0446927374301676,0.23076923076923078,0.09911242603550297,4.5,1,0,5,50.44543757599004,1
강남구,살인,다중이용시설,06시-09시,0,1,1,2,0.0446927374301676,0.23076923076923078,0.06656804733727811,7.5,0,1,5,45.20745043769494,1
강남구,살인,다중이용시설,09시-12시,0,1,1,3,0.0446927374301676,0.23076923076923078,0.11538461538461539,10.5,0,0,5,53.06443114513759,1
강남구,살인,다중이용시설,12시-15시,0,1,1,4,0.0446927374301676,0.23076923076923078,0.13609467455621302,13.5,0,0,5,56.397695687689,1
강남구,살인,다중이용시설,15시-18시,0,1,1,5,0.0446927374301676,0.23076923076923078,0.14497041420118342,16.5,0,0,5,57.826237634496756,1
강남구,살인,다중이용시설,18시-21시,0,1,1,6,0.0446927374301676,0.23076923076923078,0.16568047337278108,19.5,0,1,5,61.1595021770482,1
강남구,살인,다중이용시설,21시-24시,0,1,1,7,0.0446927374301676,0.23076923076923078,0.14053254437869822,22.5,1,0,5,57.1119666610929,1
강남구,살인,기타,00시-03시,0,1,0,0,0.0446927374301676,0.1760355029585799,0.13165680473372782,1.5,1,0,5,46.874082708970654,1
강남구,살인,기타,03시-06시,0,1,0,1,0.0446927374301676,0.1760355029585799,0.09911242603550297,4.5,1,0,5,41.636095570675565,0
강남구,살인,기타,06시-09시,0,1,0,2,0.0446927374301676,0.1760355029585799,0.06656804733727811,7.5,0,1,5,36.39810843238046,0
강남구,살인,기타,09시-12시,0,1,0,3,0.0446927374301676,0.1760355029585799,0.11538461538461539,10.5,0,0,5,44.255089139823106,1
강남구,살인,기타,12시-15시,0,1,0,4,0.0446927374301676,0.1760355029585799,0.13609467455621302,13.5,0,0,5,47.58835368237453,1
강남구,살인,기타,15시-18시,0,1,0,5,0.0446927374301676,0.1760355029585799,0.14497041420118342,16.5,0,0,5,49.01689562918227,1
강남구,살인,기타,18시-21시,0,1,0,6,0.0446927374301676,0.1760355029585799,0.16568047337278108,19.5,0,1,5,52.35016017173371,1
강남구,살인,기타,21시-24시,0,1,0,7,0.0446927374301676,0.1760355029585799,0.14053254437869822,22.5,1,0,5,48.30262465577841,1
강남구,강도,주거지구,00시-03시,0,0,3,0,0.047811734639548506,0.2532467532467532,0.13744588744588745,1.5,1,0,4,46.61953455197638,1
강남구,강도,주거지구,03시-06시,0,0,3,1,0.047811734639548506,0.2532467532467532,0.10606060606060606,4.5,1,0,4,42.57838933910203,0
강남구,강도,주거지구,06시-09시,0,0,3,2,0.047811734639548506,0.2532467532467532,0.07034632034632035,7.5,0,1,4,37.97984478652089,0
강남구,강도,주거지구,09시-12시,0,0,3,3,0.047811734639548506,0.2532467532467532,0.09632034632034632,10.5,0,0,4,41.324240824761716,0
